imdb_id,TITLE,YEAR,GENRE,budget,revenue,vote_average
tt1212436,The Back-up Plan,2010,Comedy,35000000,77477008,6.0
tt1212442,Shadows in Paradise,2010,Action,0,0,6.0
tt1212453,Bayside Shakedown 3: Set the Guys Loose,2010,Drama,0,72500000,4.4
tt1212454,An Invisible Sign,2010,Comedy,0,1279,5.1
tt1213012,Alpha and Omega,2010,Adventure,20000000,50500000,5.4
tt1213648,London Boulevard,2010,Crime,25000000,4644108,5.9
tt1214981,SP: The motion picture yab? hen,2010,Drama,0,0,8.0
tt1215486,Tug,2010,Comedy,0,0,4.0
tt1216492,Leap Year,2010,Comedy,19000000,29922472,6.7
tt1216520,Womb,2010,Drama,3100000,0,6.2
tt1217059,One in the Gun,2010,Thriller,0,0,3.5
tt1217301,Mob Rules,2010,Action,200,0,3.6
tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,2010,Action,80000000,140073390,6.6
tt1220221,Motherland,2010,Documentary,0,0,8.0
tt1220227,Stacy's Mom,2010,Comedy,500000,0,2.4
tt1220625,Cupid's Arrow,2010,Comedy,0,0,4.5
tt1220627,Hard Breakers,2010,Comedy,0,0,3.3
tt1220634,Resident Evil: Afterlife,2010,Action,60000000,300228084,6.0
tt1220888,Henry's Crime,2010,Comedy,12000000,204940,5.8
tt1221208,Frankie & Alice,2010,Biography,0,693181,5.7
tt1221867,Urgency,2010,Action,0,0,1.9
tt1222698,Beneath the Blue,2010,Drama,2500000,0,5.5
tt1223980,Two Eyes Staring,2010,Horror,0,0,5.8
tt1224136,The Tested,2010,Drama,0,0,4.0
tt1225302,The Big I Am,2010,Crime,0,0,4.5
tt1225703,No Greater Love,2010,Drama,0,0,8.8
tt1226229,Get Him to the Greek,2010,Adventure,40000000,90029656,5.9
tt1226273,Edge of Darkness,2010,Crime,80000000,74901339,6.3
tt1226753,The Debt,2010,Drama,20000000,45636368,6.6
tt1227378,"Fat, Sick & Nearly Dead",2010,Documentary,0,0,7.2
tt1227524,Aashayein,2010,Drama,0,0,6.0
tt1227555,Corridor,2010,Mystery,0,0,5.4
tt1228705,Iron Man 2,2010,Action,200000000,623933331,6.8
tt1228987,Let Me In,2010,Drama,20000000,24145613,6.7
tt1229236,World's End,2010,Action,1000000,0,3.5
tt1229381,Outside the Law,2010,Crime,30000000,0,6.4
tt1229405,Junkyard Dog,2010,Horror,1,0,4.5
tt1230196,Trust Me,2010,Comedy,0,0,5.7
tt1230204,A Turtle's Tale: Sammy's Adventures,2010,Adventure,0,71594792,5.8
tt1230372,Endure,2010,Thriller,0,0,7.8
tt1230385,The Yellow Sea,2010,Action,0,0,7.4
tt1230478,Yohan - Barnevandrer,2010,Drama,0,0,8.5
tt1231583,Due Date,2010,Comedy,65000000,211780824,6.3
tt1231587,Hot Tub Time Machine,2010,Comedy,36000000,64572262,6.0
tt1232202,Nic & Tristan Go Mega Dega,2010,Family,500000,0,5.5
tt1232206,Teenage Paparazzo,2010,Documentary,0,0,6.9
tt1232775,Drones,2010,Comedy,500000,0,5.2
tt1232838,Triple Dog,2010,Drama,0,0,5.8
tt1233192,Brighton Rock,2010,Crime,0,0,6.0
tt1233290,Hanni & Nanni,2010,Family,0,0,6.6
tt1234540,The Aviatrix of Kazbek,2010,Drama,0,0,5.0
tt1234546,'Master Harold' ... And the Boys,2010,Drama,0,0,5.8
tt1234559,Chico Xavier,2010,Biography,0,0,7.1
tt1234654,Greenberg,2010,Comedy,0,6153967,5.9
tt1235189,Wild Target,2010,Action,8000000,3453043,6.4
tt1235430,Heterosexuals,2010,Comedy,0,0,10.0
tt1235537,Mahler on the Couch,2010,Biography,0,0,7.7
tt1235548,VIPs,2010,Biography,0,0,6.2
tt1235830,Chico & Rita,2010,Animation,0,0,6.9
tt1235853,In Your Hands,2010,Drama,0,0,6.0
tt1236250,Gigola,2010,Drama,14000000,0,5.1
tt1236371,Mysteries of Lisbon,2010,Drama,2500000,0,7.0
tt1236472,Lemmy,2010,Biography,0,0,7.4
tt1237373,Special Ops,2010,Action,0,0,2.8
tt1239216,The Assignment,2010,Drama,0,0,5.0
